B-PI,B-IM,B-GOAL
Trauma,null,null
Trauma,null,null
injury,null,null
hemorrhage,null,null
fractures,null,null
hemorrhage,null,null
injury,null,null
injuries,null,null
injury,null,null
injury,null,null
injury,null,null
injury,null,null
hemorrhage,null,null
fractures,null,null
injury,null,null
injuries,null,null
injuries,null,null
injury,null,null
injuries,null,null
highly,null,null
trauma,null,null
injuries,null,null
injury,null,null
injury,null,null
injury,null,null
injury,null,null
injury,null,null
hemorrhage,null,null
fractures,null,null
null,null,Uttam
null,null,M.J.
null,null,R.
null,2352,null
null,BY-NC,null
Trauma,null,null
fracture,null,null
injury,null,null
pain,null,null
restricted,null,null
null,(CT),null
fractures,null,null
fracture,null,null
null,CT,null
hemorrhage,null,null
null,CT,null
null,null,treatment
hemorrhage,null,null
Trauma,null,null
null,CT,null
fractures,null,null
injuries,null,null
injury,null,null
injuries,null,null
injuries,null,null
injury,null,null
loss,null,null
injury,null,null
mechanisms,null,null
injuries,null,null
fractures,null,null
edema,null,null
injury,null,null
injury,null,null
edema,null,null
injury,null,null
fracture,null,null
injury,null,null
fractures,null,null
mechanisms,null,null
injuries,null,null
mechanisms,null,null
injury,null,null
injury,null,null
direction,null,null
injuries,null,null
null,null,treatment
injury,null,null
injury,null,null
injuries,null,null
null,null,management
Trauma,null,null
G.A.,null,null
R.A.,null,null
null,null,H.G.
hemorrhage,null,null
injury,null,null
null,null,R.
injuries,null,null
lesions,null,null
edema,null,null
injury,null,null
1248–1250,null,null
injuries,null,null
null,null,M.J.
N.,null,null
parenchyma,null,null
injury,null,null
injury,null,null
injured,null,null
null,null,R.
injury,null,null
349–351,null,null
