B-PI,B-IM,B-SurgicalProcedure,B-GOAL
Trauma,null,null,null
Trauma,null,null,null
transection,null,null,null
penetrating,null,null,null
injury,null,null,null
null,null,null,R.
Penetrating,null,null,null
trauma,null,null,null
penetrating,null,null,null
injury,null,null,null
null,null,null,examination
herniation,null,null,null
injury,null,null,null
doubling,null,null,null
pain,null,null,null
null,null,null,exploration
null,null,null,repaired
injury,null,null,null
null,BY-NC,null,null
Penetrating,null,null,null
trauma,null,null,null
injuries,null,null,null
injury,null,null,null
injury,null,null,null
injury,null,null,null
trauma,null,null,null
trauma,null,null,null
injury,null,null,null
penetrating,null,null,null
injury,null,null,null
healthy,null,null,null
trauma,null,null,null
herniating,null,null,null
null,null,null,exploration
null,null,laparotomy,null
injuries,null,null,null
hemorrhage,null,null,null
injury,null,null,null
null,null,null,repaired
hematuria,null,null,null
null,(CT),null,null
injury,null,null,null
http://dx.doi.org/10.1016/j.tcr.2017.07.002,null,null,null
null,2352,null,null
null,BY-NC,null,null
Trauma,null,null,null
null,cystogram,null,null
injury,null,null,null
doubling,null,null,null
pain,null,null,null
nausea,null,null,null
null,ultrasound,null,null
null,CT,null,null
null,null,laparotomy,null
null,null,null,drained
null,Ureterogram,null,null
null,null,null,repair
Vicryl,null,null,null
trauma,null,null,null
injury,null,null,null
trauma,null,null,null
trauma,null,null,null
injury,null,null,null
injuries,null,null,null
injuries,null,null,null
penetrating,null,null,null
trauma,null,null,null
Trauma,null,null,null
mechanisms,null,null,null
injury,null,null,null
injury,null,null,null
null,null,null,diagnosis
injury,null,null,null
highly,null,null,null
injury,null,null,null
hematuria,null,null,null
hematuria,null,null,null
null,null,null,Imaging
injury,null,null,null
injury,null,null,null
null,null,null,imaging
trauma,null,null,null
trauma,null,null,null
injury,null,null,null
null,ureterogram,null,null
injury,null,null,null
trauma,null,null,null
injuries,null,null,null
injuries,null,null,null
null,null,null,exploration
hemorrhage,null,null,null
leakage,null,null,null
injury,null,null,null
injuries,null,null,null
null,null,null,repair
injury,null,null,null
null,ureterogram,null,null
extravasation,null,null,null
null,null,null,repair
Trauma,null,null,null
injury,null,null,null
trauma,null,null,null
Penetrating,null,null,null
trauma,null,null,null
Pertinent,null,null,null
null,null,Ureteropyelostomy,null
injury,null,null,null
null,null,null,repair
healthy,null,null,null
injuries,null,null,null
null,null,null,imaging
null,null,null,imaging
null,ureterogram,null,null
injury,null,null,null
null,null,null,exploration
null,null,null,identiﬁcation
trauma,null,null,null
null,null,null,repair
injury,null,null,null
D.,null,null,null
O.,null,null,null
trauma,null,null,null
injuries,null,null,null
null,Today,null,null
B.L.,null,null,null
injuries,null,null,null
Trauma,null,null,null
hernia,null,null,null
hernia,null,null,null
injuries,null,null,null
N.,null,null,null
null,S.B.,null,null
null,null,null,M.J.
injuries,null,null,null
penetrating,null,null,null
trauma,null,null,null
Trauma,null,null,null
J.C.,null,null,null
P.R.,null,null,null
injuries,null,null,null
trauma,null,null,null
null,null,null,management
Trauma,null,null,null
trauma,null,null,null
mechanisms,null,null,null
injury,null,null,null
injuries,null,null,null
trauma,null,null,null
Trauma,null,null,null
D.,null,null,null
null,null,null,R.
trauma,null,null,null
injury,null,null,null
injuries,null,null,null
641–644,null,null,null
Penetrating,null,null,null
trauma,null,null,null
trauma,null,null,null
